AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
1,7,2,6.3,0.52,0.8,0
1,6,7,2.2,0.45,0.8,0
1,1,0,12.4,0.29,2.57,0
2,13,2,5.9,0.96,0.69,0
1,8,10,6.7,0.47,1.14,0
1,4,3,6.6,1.16,1.28,1
1,0,2,16.0,1.01,1.55,1
1,9,6,17.8,2.85,5.16,1
3,16,22,4.4,1.28,4.66,0
2,11,8,9.1,0.14,2.13,0
3,16,17,5.4,0.45,3.22,0
3,5,3,3.4,0.36,1.04,0
1,1,3,12.4,0.38,2.85,0
1,2,8,10.0,1.77,0.73,0
3,15,14,18.1,1.55,7.68,0
3,13,23,6.1,2.15,2.48,1
2,4,10,16.3,1.33,2.42,0
1,8,6,7.2,0.61,1.55,0
1,3,5,13.2,1.63,2.72,0
2,13,3,19.2,2.8,4.69,0
2,12,11,11.3,2.1,1.51,0
3,9,2,14.8,1.56,2.59,1
2,9,4,13.8,1.35,2.65,1
2,9,5,4.5,0.31,0.86,0
1,5,9,8.7,0.77,3.05,0
2,2,1,6.8,0.28,1.49,1
2,8,6,4.1,0.33,0.74,0
2,1,8,12.5,0.59,2.41,1
2,13,11,18.9,6.23,13.05,1
1,4,2,15.6,1.64,2.11,1
2,4,9,6.5,1.18,1.29,0
3,14,3,1.7,0.35,0.39,0
2,16,9,4.0,1.73,1.43,0
1,7,9,9.7,0.55,1.58,0
2,4,10,11.3,0.29,2.87,0
2,1,0,4.8,0.31,0.65,1
2,14,7,8.8,3.75,2.67,0
2,6,14,7.5,0.57,1.01,0
1,6,0,10.3,0.72,1.55,0
1,1,1,17.3,0.16,2.96,0
1,7,2,7.0,0.36,2.02,0
2,13,5,8.9,0.6,1.53,0
2,2,14,22.9,2.12,5.89,1
2,12,10,5.0,0.56,1.74,0
2,8,19,5.6,0.88,2.31,0
3,16,21,3.0,0.91,1.49,0
1,10,6,6.5,0.85,1.36,0
1,0,7,24.2,1.42,5.59,0
2,13,9,8.0,0.97,1.19,0
2,14,21,15.0,2.79,3.66,1
1,11,8,16.9,4.64,4.83,0
2,1,4,9.3,0.43,1.05,0
3,19,2,15.6,4.4,7.76,0
1,4,3,13.2,1.09,1.82,1
1,1,8,11.0,0.75,1.12,0
2,10,0,11.2,0.82,2.32,1
2,1,6,2.5,0.28,0.25,1
2,13,2,7.2,0.18,2.7,0
1,4,0,4.2,0.5,0.89,0
1,1,0,5.9,0.24,0.82,1
2,9,10,4.3,0.38,0.83,0
3,8,27,6.9,0.4,2.84,0
2,6,6,23.1,3.34,4.05,1
1,3,7,4.1,0.26,0.52,0
3,8,10,6.1,0.28,5.08,1
3,3,23,9.8,0.97,3.44,0
2,0,17,9.7,0.33,2.58,0
1,7,1,5.5,0.57,2.89,0
2,17,11,6.0,2.56,4.4,0
2,7,6,6.0,0.54,1.02,0
1,6,6,1.0,0.14,0.16,0
2,14,11,7.2,1.78,4.05,0
1,6,0,1.9,0.09,0.58,0
2,16,6,12.1,1.61,12.42,0
3,5,3,9.0,1.97,2.35,1
1,1,10,4.5,0.28,1.07,0
2,5,3,5.4,0.58,1.42,1
2,16,3,10.4,3.95,3.85,0
2,12,8,6.7,1.3,1.85,0
3,14,25,10.2,1.35,2.22,0
3,21,22,12.2,3.24,14.45,0
1,7,8,4.0,0.45,0.75,1
1,0,6,8.0,1.62,3.98,1
1,11,6,2.4,0.11,0.47,0
3,0,27,10.8,0.85,1.2,0
3,17,26,12.0,3.38,10.18,0
1,5,6,19.9,3.18,10.75,1
3,9,5,20.4,4.04,8.2,1
1,5,2,7.9,0.3,1.04,0
1,10,8,18.1,3.7,4.26,0
2,5,6,1.9,0.88,0.54,0
1,7,3,14.4,0.85,2.32,0
3,9,10,15.3,1.61,7.57,0
3,3,11,8.0,0.56,2.64,1
2,8,16,0.6,0.03,0.2,0
2,5,1,2.8,0.1,0.82,0
1,11,9,0.9,0.07,0.17,0
1,7,0,6.5,0.53,0.64,0
1,4,3,9.5,0.23,2.43,0
2,2,11,9.1,0.12,1.25,1
2,11,4,3.5,0.63,1.99,0
2,6,19,19.9,2.54,5.82,1
1,4,4,18.3,0.49,3.35,0
1,10,11,9.5,2.06,1.65,0
2,7,10,4.3,0.43,0.94,0
3,21,20,14.4,9.6,7.39,0
1,3,4,13.3,1.6,3.05,0
2,12,4,23.7,2.06,5.29,0
2,15,16,1.8,0.14,0.56,0
2,5,3,14.1,1.18,2.35,0
2,15,11,18.5,1.21,6.19,0
2,10,16,13.3,4.87,8.16,0
3,22,17,11.1,3.32,12.66,0
2,13,3,21.3,2.71,8.36,1
2,13,3,1.9,1.42,0.58,0
2,1,1,7.9,0.37,1.29,0
2,5,13,9.0,0.45,1.44,0
3,19,1,7.8,2.25,5.23,0
2,18,19,4.5,0.61,1.37,0
2,2,14,13.2,1.14,4.01,0
3,16,25,4.4,2.6,1.0,0
2,10,2,9.5,0.57,2.56,0
2,8,6,5.4,2.16,2.06,0
1,8,7,11.9,0.4,1.74,0
3,9,11,19.2,0.8,3.81,1
2,9,6,5.0,0.23,1.52,0
2,7,0,6.4,0.63,0.78,0
2,0,1,7.2,0.19,1.32,0
2,9,7,14.6,3.11,5.5,1
1,2,9,15.2,0.87,1.56,0
2,19,16,3.7,0.92,0.75,0
3,22,23,7.6,4.14,4.98,0
1,4,1,1.2,0.08,0.11,0
1,6,4,10.4,0.93,1.77,0
2,16,10,21.0,0.69,7.29,0
1,6,7,7.2,0.77,1.96,0
1,2,6,13.6,1.58,1.69,1
2,14,0,2.4,0.27,0.59,0
1,0,11,3.7,0.45,0.18,1
2,13,1,8.9,1.9,1.48,0
2,8,3,12.6,0.13,5.03,0
1,9,0,13.9,1.07,2.4,0
2,9,16,7.6,0.65,1.63,0
1,11,7,6.0,0.93,0.99,0
2,2,16,22.7,1.21,3.79,1
2,16,15,3.4,0.18,1.05,0
1,11,5,6.1,0.71,1.49,0
1,3,4,4.4,0.26,1.23,0
2,9,8,5.5,0.5,1.26,0
3,19,25,2.8,1.07,3.38,0
2,10,12,9.8,3.24,1.57,1
3,10,14,5.4,0.93,1.88,0
1,3,1,9.0,0.47,1.06,0
2,0,10,17.1,2.05,1.37,0
1,4,5,5.0,0.55,0.8,1
2,20,2,1.9,0.54,0.52,0
3,29,18,25.3,20.56,12.08,1
3,6,24,9.6,0.62,4.56,0
3,22,19,5.5,1.51,2.95,0
1,6,2,5.2,0.11,0.98,0
1,5,1,6.3,2.21,2.52,0
1,9,4,1.2,0.07,0.15,0
2,11,12,14.7,0.45,6.02,0
2,16,20,19.4,1.56,9.5,0
1,10,1,7.1,1.31,0.47,0
3,4,19,10.1,1.06,1.46,0
2,19,15,27.1,9.59,6.67,1
2,18,8,12.1,4.59,1.94,0
1,2,0,14.4,0.59,1.43,1
2,1,6,11.1,1.07,2.15,0
2,4,15,17.3,0.52,2.42,0
2,16,4,20.0,4.16,6.24,0
2,4,15,7.0,0.4,1.91,0
1,4,1,3.1,0.28,0.96,1
1,8,4,5.0,0.38,0.82,0
1,3,4,11.0,0.29,4.66,1
3,16,22,1.6,0.43,0.35,0
2,0,8,8.1,0.9,0.97,1
2,5,12,16.4,1.58,4.16,1
3,25,12,26.5,14.6,17.2,1
2,12,6,17.4,2.77,12.71,0
2,2,4,3.7,0.85,0.33,0
1,1,8,8.0,0.16,2.32,0
1,8,6,12.0,0.76,2.0,0
1,1,1,1.1,0.03,0.17,0
1,3,3,2.4,0.26,0.94,1
1,2,4,2.5,0.46,0.57,1
1,0,5,10.4,0.64,3.32,0
2,16,9,14.3,5.0,7.73,0
2,11,2,3.3,0.09,1.66,0
2,7,16,15.4,2.65,3.97,0
2,20,12,8.2,0.77,2.42,0
1,6,8,19.8,5.57,3.73,1
1,4,2,14.2,0.44,3.54,1
3,6,19,12.2,1.99,1.8,0
1,4,8,6.5,0.35,0.62,0
2,15,19,4.9,0.42,1.15,0
2,5,3,16.0,8.17,27.03,1
3,18,4,13.4,4.52,5.39,0
1,0,8,16.6,0.62,2.53,1
1,3,0,4.3,0.36,0.46,0
2,10,13,11.3,1.17,2.45,0
1,3,8,2.6,0.15,0.24,0
2,2,1,3.8,0.28,1.09,0
3,8,21,0.7,0.09,0.22,0
2,10,8,1.2,0.04,0.37,0
2,6,13,8.5,1.19,4.08,0
3,18,6,15.7,6.57,4.58,1
3,7,6,14.5,0.37,7.75,1
2,2,15,23.1,1.92,3.17,1
1,0,2,16.1,0.32,2.09,1
2,9,10,23.0,2.69,9.04,0
1,0,1,7.7,1.53,0.47,0
1,13,7,2.3,0.07,0.55,0
2,14,3,0.8,0.47,0.19,0
1,6,7,18.1,1.11,2.69,0
3,2,22,6.7,0.11,1.9,0
2,0,18,12.9,1.58,0.74,1
2,3,13,1.9,0.43,0.46,0
2,5,12,8.1,0.73,0.89,0
2,18,9,2.1,0.37,0.56,0
2,18,9,11.2,5.25,2.26,0
3,22,4,2.3,0.83,1.45,0
2,13,11,9.6,1.88,3.02,0
1,7,4,9.1,0.64,1.72,0
3,8,11,3.3,0.68,0.81,0
2,14,8,41.3,15.02,14.72,1
2,20,17,1.4,0.34,1.07,0
1,1,4,2.5,0.13,0.29,0
2,7,15,6.4,0.95,1.61,0
1,1,0,4.9,0.61,0.42,0
2,15,2,4.8,0.8,2.08,0
1,10,6,2.7,0.31,0.34,0
1,12,7,7.7,1.85,1.61,0
3,13,20,30.8,6.11,9.29,1
2,2,12,16.0,4.0,3.36,1
2,3,3,3.7,0.28,0.65,0
3,9,0,9.4,1.33,5.25,1
3,3,11,21.3,1.4,4.35,0
1,7,3,5.1,0.21,0.91,0
3,15,0,3.1,0.48,3.43,0
2,7,10,4.9,0.23,0.9,0
2,13,8,6.1,0.86,2.55,0
2,22,4,3.6,0.63,2.79,0
1,2,5,6.4,0.27,0.75,1
2,2,14,3.1,0.53,0.84,0
3,5,29,17.3,6.94,6.56,1
3,9,1,20.1,2.54,7.91,1
2,5,5,13.0,0.17,3.99,0
2,14,8,17.0,1.14,3.62,0
3,11,5,10.1,2.46,1.48,0
1,0,7,9.3,1.27,1.33,0
1,2,2,9.6,0.8,0.73,1
1,0,4,8.7,0.45,1.37,0
2,4,13,1.6,0.44,0.45,0
1,5,2,8.3,1.12,1.95,0
1,0,8,29.7,3.9,15.41,1
2,18,10,15.4,2.1,3.14,0
3,16,14,11.1,1.66,6.22,0
3,0,9,6.6,0.28,3.95,0
2,13,12,5.0,0.24,1.11,0
2,10,4,4.8,0.18,1.3,0
3,21,26,3.0,2.56,1.4,0
3,22,24,11.7,1.26,9.39,0
2,14,17,5.7,1.89,1.13,0
1,0,6,12.1,1.6,1.31,1
1,1,7,21.2,2.33,3.82,1
1,8,4,6.4,0.33,3.25,0
2,1,1,4.5,0.22,0.86,0
3,4,2,4.6,0.05,1.28,0
2,11,4,23.8,5.44,8.13,1
3,19,7,30.1,3.18,11.87,0
3,1,15,14.8,1.38,1.73,1
3,16,10,4.1,0.26,3.14,0
3,3,7,7.0,0.76,0.92,0
1,8,7,2.8,0.55,1.16,0
1,0,4,18.4,0.82,5.07,1
2,8,0,1.6,0.02,0.49,0
1,0,1,2.3,0.04,0.35,0
3,16,7,0.4,0.16,0.2,0
1,2,1,4.5,0.12,1.0,1
3,21,2,20.5,6.95,8.63,0
2,12,5,25.1,7.82,9.25,1
2,9,4,6.6,0.79,3.43,0
1,0,8,12.9,1.04,1.8,1
2,9,16,18.7,4.76,5.71,0
1,1,2,5.7,0.84,1.56,0
1,0,5,1.1,0.13,0.05,0
2,18,14,6.6,3.33,7.04,0
2,8,2,3.7,0.98,0.68,0
2,16,12,3.7,0.69,1.27,0
2,22,1,14.6,5.4,9.2,0
2,10,11,9.1,1.54,2.28,0
2,23,1,18.9,3.13,11.04,0
1,3,3,28.9,2.68,3.39,1
3,18,14,6.5,16.03,12.96,1
3,11,20,15.0,4.67,4.18,0
2,5,9,4.5,0.33,0.71,0
3,7,12,10.2,1.63,0.92,0
3,3,13,13.2,3.04,2.63,1
2,2,2,16.4,1.74,1.87,1
3,25,16,2.6,1.64,4.66,0
1,6,9,11.5,0.65,1.88,0
2,11,17,12.9,2.56,2.47,0
2,0,8,7.9,1.07,2.01,0
2,1,14,16.1,2.69,2.62,1
1,0,11,12.0,0.3,1.74,0
2,9,16,5.9,0.89,9.56,0
1,4,3,17.5,0.23,2.22,0
3,1,26,14.3,1.85,1.87,0
1,10,2,4.4,0.34,0.5,0
2,8,0,4.0,0.28,0.56,0
1,0,2,12.5,0.49,2.14,1
2,9,2,2.6,0.12,0.61,0
2,9,1,5.8,0.6,1.14,0
1,4,1,23.8,1.09,2.72,0
3,16,26,17.6,15.79,23.1,1
1,6,1,4.4,0.24,1.26,0
1,6,10,18.4,1.99,9.97,0
1,2,0,4.5,0.29,0.61,1
1,7,5,19.8,1.01,2.95,1
3,12,3,9.7,0.36,2.65,0
1,1,0,4.4,0.27,0.52,0
2,13,0,2.4,0.41,1.01,0
3,12,16,7.7,0.99,4.86,0
1,3,2,16.3,0.35,2.58,1
1,5,5,10.9,0.4,2.0,0
3,27,21,11.5,0.82,18.27,0
2,21,16,16.5,4.58,4.99,0
3,9,20,5.2,0.55,1.17,0
1,2,3,9.7,0.89,1.63,1
1,6,2,4.5,0.07,1.1,0
3,5,17,10.5,3.61,6.26,1
2,4,10,5.8,0.57,0.88,0
1,2,8,5.7,0.32,0.99,1
2,10,13,20.9,6.11,5.8,1
2,0,16,15.0,1.97,1.33,1
3,15,31,1.1,0.47,0.19,0
2,13,13,3.6,0.23,1.28,0
3,13,13,25.2,2.32,20.62,1
1,0,2,33.3,2.28,7.04,1
2,12,14,16.0,5.72,4.36,1
1,3,2,17.8,1.01,1.84,1
3,4,9,7.1,1.19,1.15,1
1,12,9,7.2,2.94,4.12,0
3,12,5,13.0,1.48,9.7,0
1,0,2,18.9,0.51,2.89,1
3,6,0,19.5,4.51,2.51,1
1,0,1,7.7,0.48,0.91,0
2,3,11,17.2,1.8,5.08,1
3,6,23,7.8,3.16,11.66,0
2,3,19,14.7,0.83,2.55,0
1,2,5,19.9,1.52,4.45,0
3,19,25,4.7,0.4,3.79,0
1,9,2,3.5,0.11,0.6,0
1,1,4,14.7,0.57,1.78,0
3,19,11,7.5,0.78,5.14,0
1,3,1,19.1,2.17,2.41,0
2,13,7,9.2,1.5,3.29,0
1,6,9,4.2,0.58,0.47,0
2,6,9,8.3,0.73,1.01,0
3,14,1,8.6,1.2,2.93,1
3,11,1,15.0,0.54,7.11,0
2,22,9,14.3,3.73,6.71,0
3,0,19,4.2,0.03,0.89,0
3,7,22,2.9,0.07,0.86,0
1,9,0,1.6,0.24,0.49,0
1,5,6,6.8,0.71,0.99,0
1,4,7,4.1,0.29,0.49,0
3,17,22,3.2,1.47,0.64,0
1,2,5,6.0,0.53,0.55,0
2,6,12,4.2,0.15,1.24,0
3,10,9,6.4,0.41,4.01,0
3,3,10,10.6,0.67,1.88,0
3,31,14,7.8,4.27,15.15,0
1,4,3,23.1,1.89,2.5,1
1,1,3,13.8,1.98,1.47,1
3,2,13,16.9,0.38,3.0,1
1,9,8,8.2,0.15,2.31,0
3,2,16,9.7,1.47,1.44,0
2,15,0,13.2,3.74,5.1,0
2,9,7,1.7,0.3,0.16,0
2,5,5,15.0,1.81,4.64,1
3,18,23,9.6,1.64,4.69,0
1,3,0,16.1,0.84,1.42,1
2,16,9,7.6,1.47,2.17,0
1,10,2,4.7,0.13,1.38,0
1,12,9,20.1,2.86,10.81,0
2,4,3,28.5,0.89,3.67,1
2,13,18,5.7,0.34,1.08,0
3,10,24,8.5,0.68,2.47,0
2,9,8,13.5,1.19,5.96,0
2,10,18,17.3,3.02,18.26,0
2,4,11,21.7,0.17,4.17,1
3,12,11,26.5,4.99,17.8,1
2,0,4,3.0,0.26,0.34,1
1,0,1,9.0,0.78,2.37,1
2,12,3,18.2,5.55,5.92,0
3,17,23,9.5,0.46,3.44,0
2,21,21,6.2,0.97,1.89,0
2,8,1,6.7,0.37,1.1,0
2,7,0,2.2,0.13,0.47,0
3,13,17,7.7,7.39,10.63,0
1,2,2,2.5,0.2,0.23,1
2,15,18,13.4,5.09,3.35,0
2,10,4,3.1,0.03,0.78,0
2,9,12,6.6,1.43,0.68,0
3,23,11,4.0,0.65,3.95,0
2,11,8,1.3,0.27,0.36,0
1,7,2,13.6,6.91,4.51,1
3,14,10,16.5,4.94,4.8,1
2,12,18,5.8,0.89,2.82,0
3,9,26,4.3,0.01,0.63,0
1,5,4,19.9,2.71,5.65,1
3,18,34,8.5,3.29,6.4,0
1,0,0,12.7,1.42,1.76,1
1,1,0,1.6,0.01,0.26,0
3,23,2,13.7,0.57,11.89,0
1,3,5,11.3,0.07,1.62,1
1,9,0,27.7,5.28,0.81,1
1,8,0,5.6,0.57,0.38,1
3,22,4,7.3,0.29,5.48,0
1,3,1,8.6,0.38,2.71,0
2,6,17,13.0,0.13,2.21,0
2,2,9,4.5,0.83,0.83,0
1,8,4,4.7,0.21,0.96,0
2,16,14,36.6,7.32,10.98,1
1,0,1,33.4,2.8,3.21,1
1,9,2,4.8,0.69,0.89,0
1,8,4,6.9,0.36,2.26,0
3,17,0,15.0,2.44,6.86,0
2,9,8,5.5,1.36,1.78,0
1,3,6,6.1,0.54,1.05,1
3,10,1,13.2,4.96,0.85,1
1,0,0,8.4,0.37,1.56,1
1,7,10,15.7,0.26,4.45,0
2,7,2,12.3,0.11,2.35,0
1,2,0,14.8,1.94,0.72,1
2,10,16,5.7,0.22,2.01,0
1,1,1,8.5,0.13,2.76,1
2,5,0,14.8,2.59,1.55,1
2,2,10,9.6,1.04,1.26,0
1,3,4,25.1,5.9,4.39,1
3,4,17,5.4,2.22,1.72,0
3,24,12,14.0,6.59,5.03,0
3,11,5,6.8,2.87,2.09,0
3,9,13,5.0,0.44,1.91,0
1,3,5,25.7,2.53,4.93,1
3,27,8,9.2,2.38,8.02,0
1,1,3,25.6,1.98,2.63,1
2,3,14,4.7,0.62,1.07,0
2,7,2,6.2,1.04,1.63,0
2,7,4,3.0,0.65,1.27,0
3,4,14,19.2,1.47,3.52,1
3,9,23,13.8,1.62,2.66,0
2,3,15,16.5,1.75,7.32,1
3,17,0,2.5,0.55,2.67,0
2,10,15,10.4,1.6,2.45,0
2,20,15,5.4,1.06,2.18,0
1,6,7,5.1,0.45,0.47,1
1,3,3,11.4,1.27,1.23,1
3,7,17,15.4,4.64,5.06,0
1,1,1,6.9,0.19,1.12,0
3,2,19,5.4,0.44,1.12,0
3,30,14,7.2,3.97,6.68,0
2,18,7,7.0,0.54,2.61,0
1,6,4,5.4,1.17,1.31,0
3,15,8,3.6,2.4,4.29,0
2,3,13,6.9,0.41,1.18,0
1,2,6,19.8,1.02,3.14,0
1,6,6,20.2,2.26,2.18,0
3,7,11,7.9,1.87,2.94,0
3,18,27,14.1,5.78,8.6,0
3,31,9,23.1,14.23,17.18,1
1,1,0,8.4,1.21,0.55,1
2,12,8,4.1,0.32,3.08,0
3,24,15,11.5,5.06,6.44,0
1,0,7,13.3,2.15,1.71,1
2,7,11,30.7,3.0,9.59,1
3,6,1,6.3,0.12,1.07,0
2,7,17,9.9,1.69,2.27,0
3,1,16,4.4,0.24,0.59,0
3,16,31,5.6,1.33,1.13,0
2,6,5,11.5,2.33,0.54,0
1,5,6,2.9,0.34,0.39,0
3,28,25,12.0,4.33,4.07,0
1,0,1,3.9,1.02,0.62,1
2,11,6,6.8,0.3,2.01,0
1,6,6,4.9,0.88,1.22,0
3,11,17,1.3,0.18,0.3,0
1,5,7,18.7,2.13,3.11,0
3,6,7,6.4,0.59,1.13,1
2,4,9,13.6,1.25,1.34,0
1,12,10,8.5,0.17,3.06,0
1,2,0,9.4,0.23,1.65,1
2,11,2,32.5,1.27,9.46,0
3,15,5,2.1,0.32,0.94,0
2,12,9,6.6,0.44,1.14,0
2,16,10,10.5,1.14,4.84,0
3,4,4,12.5,0.14,2.73,0
3,12,9,15.0,2.53,5.72,0
2,2,3,7.1,0.18,1.8,0
2,11,13,8.0,1.27,1.53,0
2,15,1,10.6,5.5,2.66,0
3,24,10,5.6,2.99,2.66,0
3,21,14,13.2,3.19,11.72,0
2,10,4,13.0,0.96,4.63,0
1,0,7,12.8,0.58,1.72,0
2,6,1,1.2,0.04,0.2,0
2,0,5,11.1,1.37,2.4,1
1,4,4,3.7,0.32,0.42,0
3,30,8,6.4,1.87,4.59,0
1,8,1,11.8,0.44,4.28,0
2,9,8,9.3,0.42,4.04,0
2,17,4,3.0,0.09,1.17,0
1,7,2,25.4,1.17,7.22,1
2,1,17,11.5,0.32,3.13,0
1,1,1,6.3,0.14,0.87,0
2,18,10,10.5,0.84,4.72,0
2,1,4,7.9,0.85,0.73,0
2,10,1,10.3,2.5,0.9,1
2,12,12,10.8,1.37,5.98,0
1,4,2,10.7,0.23,1.7,0
1,0,5,7.3,0.02,1.14,0
3,31,8,7.2,9.31,8.91,0
3,0,26,28.9,2.75,5.05,1
1,6,4,11.5,0.37,2.05,0
2,15,3,7.6,0.49,1.94,0
3,19,22,8.4,2.3,4.17,0
2,12,14,14.7,2.99,3.47,0
1,0,5,11.233439756520161,0.9252008115994623,1.92851286029543,1
1,0,2,16.0470349421644,0.6854588990656445,1.8039886876877564,1
2,6,7,6.085592021829413,0.5561406792739367,0.9703774880057018,1
1,5,5,19.94655138390295,3.2600683803130734,10.512587942094957,1
1,1,7,5.710278424204668,0.3179443151590665,0.9653317819087984,1
1,2,4,6.4,0.26203344457306643,0.8037742491318016,1
3,12,12,25.676968105544752,3.299619109080375,19.585346109510617,1
1,11,6,16.87464170746818,2.896267914626591,4.267690217915746,1
3,13,15,27.1555736178309,3.643504287781985,16.663455519638553,1
2,9,13,10.183662049581665,2.9056659282216923,2.1208290854708194,1
1,2,3,6.4,0.19823117920379385,1.2344395403743917,1
2,2,11,17.84360738168883,1.8361323442351625,5.171459996345255,1
2,13,2,22.04842314408408,3.0754065938763446,7.677614192158634,1
2,3,12,16.256812658461715,2.4462834163066236,3.8736253169234303,1
1,3,2,10.424274031504456,2.3294862584582687,0.39113178704816803,1
1,3,3,11.064651485637846,0.4483961398127215,4.105613510655475,1
1,2,3,24.734771177860637,1.428983151801586,3.218118055001518,1
2,0,8,1.870286495455344,0.2170286495455344,0.2145786153693631,1
1,4,3,23.1,1.903335724844113,2.514255430005776,1
1,1,0,6.618822765707175,0.4466615451408126,0.8649264228566984,1
1,2,3,24.758754422770142,1.949715159219725,2.5862552299840473,1
2,9,6,14.595950732923026,3.101091612430655,5.485574486038277,1
